Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,ยอดเงินยกมาจากเดือน มี.ค 2569,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,467685.7919999999,ยอดเงินโอนข้ามเดือน,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,ยอดเงินโอนออกยกมาจากเดือน มี.ค 2569,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,0,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66
No.มีผู้เช่า,Zone,No.,,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ 8 บาท,ยูนิตไฟ 10 บาท,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าประกัน router,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน (เม.ย) 2569 (บาท),Internet จ่ายพร้อมค่าเช่า เม.ย,Vat7% Internet จ่ายพร้อมค่าเช่า,Internet จ่ายแยกจากค่าเช่า,วันที่จ่าย ค่าเช่าในเดือน (เม.ย),จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน พ.ค,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,,ค่าประกัน,ค่าเช่าล่วงหน้า/ค่าห้อง,รายวัน,ค่าทำความสะอาด,Vat7% ค่าทำความสะอาด,ค่าปรับ,Vat7% ค่าปรับ,ค่าน้ำ,Vat7% ค่าน้ำ,ค่าไฟ,Vat7% ค่าไฟ,ค่า Internet,Vat7% internet,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ 8 บาท,ยูนิตไฟ 10 บาท,ค่าใช้จ่ายทั้งสิ้น,คืนประกัน router,ยอดเงินโอนคืนผู้เช่าย้ายออก (เม.ย),วันที่คืนเงินย้ายออก (เม.ย),เงินโอนคืนผู้เช่าย้ายออก (พ.ค),วันที่คืนเงินย้ายออก (พ.ค),วันที่ย้ายออก/คืน router,บัญชีที่ใช้โอนคืน,เงินประกัน+ล่วงหน้า (คงเหลือ),ประกัน router คงเหลือ,วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
,ผู้รับเหมาคุณน้ำฝน,,,,,0,996,,1028,0,,32,,,,,,0,0,320,22.400000000000002,,,,,,,2569-05-02 00:00:00,342.4,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,E,1,Aohong,1001,Suite,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,E,2,Aohong,1002,Suite,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,3,,1003,Studio,0,0,0,0,0,,0,,,,,,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,4,ออฟฟิศ,1004,Suite,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,5,ออฟฟิศ2,1005,Suite,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,E,6,ไท่ซาน,1006,Suite,0,0,0,0,0,,0,,,,,,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157/12/2568,,,,
1,E,7,ทั่วไป,1007,Suite,124,2280,171,3592,47,,1312,,,,,,1410,98.7,13120,918.4000000000001,13600,,,,,,2569-05-06 00:00:00,29147.100000000002,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,,2568-11-27 00:00:00,,,,
,E,8,จงเคอ,1008,Suite ส่วนพนักงาน,0,0,0,0,0,,0,,,,,,0,0,0,0,0,,,,2569-04-25 00:00:00,600.0025,,,KBANK คุณณรงค์ 0581083912,,,,,,,560.75,39.252500000000005,,,,,,,,,,,,,,,,,,,,,,,,2568-12-01 00:00:00,,,,
ไฟล์แยก,E,9,จงเคอ,1009,Suite,0,0,0,0,0,,0,,,,,,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2568-12-01 00:00:00,,,,
2,E,10,ทั่วไป,1010,Suite N,71,3483,83,4208,12,,725,,,,,,360,25.200000000000003,7250,507.50000000000006,13600,699,48.93000000000001,,,,2569-05-02 00:00:00,22490.63,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,1000,2568-11-23 00:00:00,,,,
,E,10,ทั่วไป,1010,INTERNET,,,,,,,,,,,,,,,,,,,,,,,,0,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2568-11-23 00:00:00,,,,
ไฟล์แยก,E,11,ไป่หลง,1011,Suite,0,0,0,0,0,,0,,,,,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/5/2568,,,,
ไฟล์แยก,E,12,ไป่หลง,1012,Suite,0,0,0,0,0,,0,,,,,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/5/2568,,,,
3,E,13,OUT,1013,Suite  OUT,0,0,0,0,0,,0,,,,,,0,0,0,0,0,,,,,,,0,,,13600,13600,,1000,70,500,35,330,23.1,10230,716.1,,,300,1960,311,2983,11,,1023,26504.199999999997,,,,695.8000000000029,2/5/2569,2569-04-30 00:00:00,กสิกร 0581083912,0,,2568-11-30 00:00:00,,,,
4,E,14,ทั่วไป,1014,Suite N,68,1044,84,1535,16,,491,,,,,,480,33.6,4910,343.70000000000005,13600,699,48.93000000000001,,,,2569-05-03 00:00:00,20115.23,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,,2568-11-30 00:00:00,,,,
ไฟล์แยก,E,15,ดาวู,1015,Suite,0,0,0,0,0,,0,,,,,,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2568-11-30 00:00:00,,,,
ไฟล์แยก,E,16,สตาร์ฮับ,1016,Suite,0,0,0,0,0,,0,,,,,,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,E,17,เฟยจิน,1017,Suite,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/11/2568,,,,
5,E,18,ทั่วไป,1018,Suite,73,2819,90,3601,17,,782,,,,,,510,35.7,7820,547.4000000000001,13600,,,,,,6 - 12 /5/2569,22513.100000000002,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,,2568-12-03 00:00:00,,,,
6,E,19,ทั่วไป,1019,Studio,29,1202,37,1521,8,,319,,,,,,240,16.8,3190,223.3,6800,,,,,,2569-05-02 00:00:00,10470.099999999999,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13600,,2568-12-17 00:00:00,,,,
ไฟล์แยก,E,20,ไท่ซาน,1020,Suite,0,0,0,0,0,,0,,,,,,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2568-12-03 00:00:00,,,,
ไฟล์แยก,E,21,รันเนอจี,1021,INTERNET พนง.,,,,,,,,,,,,,,0,,0,,349.5,24.465000000000003,,2569-04-15 00:00:00,373.96,,,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2568-03-05 00:00:00,,,,
ไฟล์แยก,E,22,เฟยจิน,1022,Suite,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2568-06-19 00:00:00,,,,
ไฟล์แยก,E,23,อู้ฟู่ใช้เข้าห้องน้ำ,1023,Suite,0,0,0,0,0,,0,,,,,,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,E,24,ทั่วไป,1024,Suite,128,5679,149,6865,21,,1186,,,,,,630,44.1,11860,830.2,13600,,,,,,2569-05-02 00:00:00,26964.300000000003,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,,2568-10-14 00:00:00,,,,
8,E,25,ทั่วไป,1025,Suite,101,2512,101,2512,0,,0,2569-04-25 00:00:00,KBANK คุณณรงค์ 0581083912,13600,13600,,0,0,0,0,3173.33,,,,,,เงินสด 9/5/69,3173.33,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,,2569-04-24 00:00:00,,,,
ไฟล์แยก,E,26,สตาร์ฮับ,1026,Suite ,0,0,0,0,0,,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,E,27,สตาร์ฮับ,1027,Suite,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
ไฟล์แยก,E,28,นิคม,1028,Suite,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2568-06-01 00:00:00,,,,
ไฟล์แยก,E,29,นิคม,1029,Suite N ส่วนพนักงาน ,0,0,0,0,0,0,,,,,,,0,0,0,0,4900,699,48.93000000000001,,2569-04-28 00:00:00,5647.93,,,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1000,2568-07-01 00:00:00,,,,
ไฟล์แยก,E,30,สตาร์ฮับ,1030,Suite,0,0,0,0,0,,0,,,,,,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,E,31,ทั่วไป (เหิงไท่),1031,Suite N,49,772,58,1288,9,,516,2569-04-01 00:00:00,บจก. เอ็มเอส เทท 1983859190,13600,13600,1000,270,18.900000000000002,5160,361.20000000000005,13600,652.4,45.668,,,,2569-05-02 00:00:00,20108.168,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200,1000,2569-04-01 00:00:00,,,,
10,E,32,ทั่วไป,1032,Suite N,132,9044,138,9886,6,842,,,,,,,180,12.600000000000001,6736,471.52000000000004,13600,699,48.93000000000001,,,,2569-05-12 00:00:00,21748.050000000003,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,2567-10-05 00:00:00,1ปี,2568-10-05 00:00:00,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,1,เดลทัล,2001,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,2,เดลทัล,2002,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,3,เดลทัล,2003,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,4,เดลทัล,2004,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,5,เดลทัล,2005,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,6,เดลทัล,2006,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,7,เดลทัล,2007,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,8,เดลทัล,2008,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,9,เดลทัล,2009,INTERNET พนง.,,,,,,,,,,,,,,0,,0,,699,48.93000000000001,,,,2569-05-12 00:00:00,747.9300000000001,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,10,เดลทัล,2010,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,11,เดลทัล,2011,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,12,เดลทัล,2012,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,13,เดลทัล,2013,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,14,เดลทัล,2014,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,15,เดลทัล,2015,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,16,เดลทัล,2016,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,17,เดลทัล,2017,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,18,เดลทัล,2018,INTERNET พนง.,,,,,,,,,,,,,,0,,0,,0,0,,,,,0,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,19,เดลทัล,2019,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,20,เดลทัล,2020,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,21,สตาร์ฮับ,2021,Studio,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,S,22,ทั่วไป,2022,Studio  N,76,2821,79,2994,3,,173,,,,,,90,6.300000000000001,1730,121.10000000000001,6800,699,48.93000000000001,,,,2569-05-05 00:00:00,9495.33,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13600,1000,8/1/2569,,,,
2,S,23,OUT 15/4/69,2023,Studio,0,0,0,0,0,,0,,,,,,0,0,0,0,0,,,,,,,0,,,6800,6800,,500,35,,0,120,8.4,2030,142.10000000000002,,,46,2919,50,3122,4,,203,9635.5,,3964.5,2569-04-25 00:00:00,,,2569-04-15 00:00:00,กสิกร 0581083912,0,,17/1/2569,,,,
ไฟล์แยก,S,24,หัวเฉิง,2024,Studio,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2567-11-23 00:00:00,2เดือน,,,
3,S,25,OUT,2025,Studio   OUT,0,0,0,0,0,,0,,,,,,0,0,0,0,0,,,,,,,0,,,6800,6800,,300,21.000000000000004,,0,240,16.8,3660,256.20000000000005,,,57,3721,65,4087,8,,366,11294,,,,2306,2569-05-12 00:00:00,2569-05-02 00:00:00,กสิกร 0581083912,13600,,2569-01-10 00:00:00,,,,
ไฟล์แยก,S,26,ไทยเตียว,2026,Studio,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,S,27,OUT 17/4/69,2027,Studio,0,0,0,0,0,,0,,,,,,0,0,0,0,0,,,,,,,0,,,6800,6800,,500,35,,0,120,8.4,2500,175.00000000000003,,,79,3829,83,4079,4,,250,10138.4,,3461.6000000000004,2569-04-25 00:00:00,,,2569-04-17 00:00:00,กสิกร 0581083912,0,,17/1/2569,,,,
ไฟล์แยก,S,28,หัวเฉิง,2028,Studio,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/8/2568,,,,
ไฟล์แยก,S,29,เดลตัน,2029,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ยอดคงเหลืออยู่ไฟล์เดลตัน,,-,-,-,-,
ไฟล์แยก,S,30,เดลตัน,2030,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ยอดคงเหลืออยู่ไฟล์เดลตัน,,,,,,
ไฟล์แยก,S,31,เดลตัน,2031,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,32,เดลตัน,2032,INTERNET พนง.,,,,,,,,,,,,,,0,,0,,699,48.93000000000001,,,,2569-05-09 00:00:00,747.9300000000001,บจก. เอ็มเอส เทท 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,33,เดลตัน,2033,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,34,เดลตัน,2034,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,35,เดลตัน,2035,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,36,เดลตัน,2036,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,37,เดลตัน,2037,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,38,เดลตัน,2038,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,39,เดลตัน,2039,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,40,เดลตัน,2040,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,41,เดลตัน,2041,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,42,เดลตัน,2042,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,43,เดลตัน,2043,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,44,เดลตัน,2044,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,45,เดลตัน,2045,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,46,เดลตัน,2046,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,47,เดลตัน,2047,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,48,เดลตัน,2048,Studio,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟล์แยก,S,49,เฟยจิน,2049,Studio,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
